  мыннугъэн	1	
  ивнинэт	1	
  ярак	2	
  мынльэтэтгыт	1	
  эмэйыңкыльин	1	
  эмнуңкы	1	
  аны	2	
  тымыткок	1	
  ынкъам	7	
  қол	1	
  ыныкагты	1	
  аляръоңңогьэ	1	
  ръэнут	1	
  лыгэн	1	
  кита	1	
  энмэн	1	
  рагтыгъэ	1	
  трэныпкирэтгыт	1	
  вынэ	4	
  гым	1	
  мачвэтгавыңңогъэ	1	
  қынвэр	1	
  ңотқо	1	
  а'тав	1	
  о'равэтльата	2	
  гынык	1	
  коргавэты	1	
  нықорагынрэтқэн	1	
  тывалёмын	1	
  ёпаннэн	1	
  қынңыгйит	1	
  тилмытил	9	
  гынин	1	
  нымэлевтылеқин	1	
  тэлмықаптэткынык	1	
  о'равэтльата	1	
  о'раңанқоры	1	
  этқыле-ым	1	
  ивнин	3	
  ңэлвыл	8	
  иквъэт	1	
  трэнмэлевэтгыт	1	
  како	1	
  люур	2	
  кыткытръоңңогьэ	1	
  валёмнэн	1	
  мынынмыгъан	1	
  пыкиргъэт	1	
  нымэлеквъэн	1	
  қаптэткынык	1	
  эквэтгъэт	2	
  мэлеквъи	1	
  мынылқынмык	1	
  нынъэлқин	1	
  эвыр	4	
  иңқун	1	
  қырым	1	
  йылнин	1	
  қынңықын	1	
  ынин	4	
  морыкы	1	
  ганымытвален	1	
  рывэнтэннин	1	
  қынпааквын	1	
  мэчтъэттывигъи	1	
  чимгъугъи	1	
  ынқэйына	1	
  льунин	1	
  чавчыв	1	
  қывакъогэ	1	
  а'мын-ым	1	
  тыткугъэн	1	
  транпаавңын	1	
  ченлеқэй	2	
  о'тчой	3	
  вакъогъэ	1	
  гэлелинэт	1	
  мыёпатгъан	1	
  қынвэр	4	
  тилмэ	3	
  о'равэтльан	3	
  нэнанмыткойвықэн	1	
  итгъи	2	
  таңамқынъычо	1	
  гатваленат	2	
  уйңэ	1	
  томгатгъэ	1	
  тэлпыгъи	1	
  ярагты	2	
  ынкы	2	
  ынқо	7	
  нэмэ	1	
  рырагтаннэн	1	
  гэрилымлелин	1	
  иквъи	3	
  вытку	1	
  ытлён	1	
  рыюсқиквъи	1	
  рыпкирэннин	1	
  ымы	1	
  қытгъи	1	
  тымык	1	
  йичьэмиттумгыт	1	
  қол	2	
  гатъылытвален	1	
  мачыпкэрыңогъат	1	
  қыранмыңыркынэткы	1	
  ынан	2	
  ынқэн	1	
  қынвэнтэтгын	1	
  рэпкиргъэ	1	
  с	1	
  анңэнайпэты	1	
  торгынан	1	
  амтъарың	1	
  чит	1	
  эккэт	1	
  гинэнъегтэлетлин	1	
  қаптэткын	1	
  
